"Descrição";"Fonte";"Origem Recurso";"Mês";"Valor"
"Faturado Outros";121;"Tesouro Estadual";2021-01-01;18099777,7345455
"Faturado Outros";108;"Fonte Federal";2021-01-01;6421605,2475
"Faturado Outros";308;"Fonte Federal";2021-01-01;2951258,39
"Faturado Outros";139;"Tesouro Estadual";2021-01-01;302441,69
"Faturado Outros";122;"Tesouro Estadual";2021-01-01;5193451,67
"Faturado Outros";121;"Tesouro Estadual";2021-02-01;17923351,7072727
"Faturado Outros";108;"Fonte Federal";2021-02-01;5489029,8675
"Faturado Outros";308;"Fonte Federal";2021-02-01;1182681,48
"Faturado Outros";139;"Tesouro Estadual";2021-02-01;346827,12
"Faturado Outros";122;"Tesouro Estadual";2021-02-01;5461023,54
"Faturado Outros";121;"Tesouro Estadual";2021-03-01;17851068,8939394
"Faturado Outros";108;"Fonte Federal";2021-03-01;6437910,7875
"Faturado Outros";308;"Fonte Federal";2021-03-01;1726975,71
"Faturado Outros";139;"Tesouro Estadual";2021-03-01;518205,33
"Faturado Outros";122;"Tesouro Estadual";2021-03-01;5229480,59
"Faturado Outros";121;"Tesouro Estadual";2021-04-01;17875484,3772727
"Faturado Outros";108;"Fonte Federal";2021-04-01;5762396,8975
"Faturado Outros";308;"Fonte Federal";2021-04-01;1668172,01333333
"Faturado Outros";139;"Tesouro Estadual";2021-04-01;1722855,71
"Faturado Outros";122;"Tesouro Estadual";2021-04-01;8171613,44
"Faturado Outros";121;"Tesouro Estadual";2021-05-01;20004391,7873636
"Faturado Outros";108;"Fonte Federal";2021-05-01;10367138,2775
"Faturado Outros";308;"Fonte Federal";2021-05-01;1933455,60333333
"Faturado Outros";139;"Tesouro Estadual";2021-05-01;3577772,35
"Faturado Outros";122;"Tesouro Estadual";2021-05-01;5931671,62333333
"Faturado Outros";121;"Tesouro Estadual";2021-06-01;20687523,3488081
"Faturado Outros";108;"Fonte Federal";2021-06-01;6813654,2075
"Faturado Outros";308;"Fonte Federal";2021-06-01;1358720,32333333
"Faturado Outros";139;"Tesouro Estadual";2021-06-01;4009233,98208333
"Faturado Outros";122;"Tesouro Estadual";2021-06-01;7089806,042
"Faturado Outros";121;"Tesouro Estadual";2021-07-01;21087469,5336364
"Faturado Outros";108;"Fonte Federal";2021-07-01;7232851,4875
"Faturado Outros";308;"Fonte Federal";2021-07-01;2507881,28333333
"Faturado Outros";139;"Tesouro Estadual";2021-07-01;3762544,36958333
"Faturado Outros";122;"Tesouro Estadual";2021-07-01;19354859,5
