"Descrição";"Fonte";"Origem Recurso";"Mês";"Valor"
"Pago Gestão";121;"Tesouro Estadual";2021-01-01;150379026,37
"Pago Gestão";108;"Fonte Federal";2021-01-01;22264642,18
"Pago Gestão";308;"Fonte Federal";2021-01-01;0
"Pago Gestão";139;"Tesouro Estadual";2021-01-01;19770586,53
"Pago Gestão";122;"Tesouro Estadual";2021-01-01;6552979,89
"Pago Gestão";316;"Tesouro Estadual";2021-01-01;0
"Pago Gestão";121;"Tesouro Estadual";2021-02-01;152221047,9
"Pago Gestão";108;"Fonte Federal";2021-02-01;41784480
"Pago Gestão";308;"Fonte Federal";2021-02-01;0
"Pago Gestão";139;"Tesouro Estadual";2021-02-01;0
"Pago Gestão";122;"Tesouro Estadual";2021-02-01;6566547,9
"Pago Gestão";316;"Tesouro Estadual";2021-02-01;0
"Pago Gestão";121;"Tesouro Estadual";2021-03-01;150870799,87
"Pago Gestão";108;"Fonte Federal";2021-03-01;31196171,68
"Pago Gestão";308;"Fonte Federal";2021-03-01;0
"Pago Gestão";139;"Tesouro Estadual";2021-03-01;19074745,88
"Pago Gestão";122;"Tesouro Estadual";2021-03-01;6567312,4
"Pago Gestão";316;"Tesouro Estadual";2021-03-01;0
"Pago Gestão";121;"Tesouro Estadual";2021-04-01;149525847,71
"Pago Gestão";108;"Fonte Federal";2021-04-01;34404244,51
"Pago Gestão";308;"Fonte Federal";2021-04-01;1463424
"Pago Gestão";139;"Tesouro Estadual";2021-04-01;27197361,75
"Pago Gestão";122;"Tesouro Estadual";2021-04-01;6877414,49
"Pago Gestão";316;"Tesouro Estadual";2021-04-01;5000
"Pago Gestão";121;"Tesouro Estadual";2021-05-01;138453610,32
"Pago Gestão";108;"Fonte Federal";2021-05-01;42131070,68
"Pago Gestão";308;"Fonte Federal";2021-05-01;0
"Pago Gestão";139;"Tesouro Estadual";2021-05-01;30305157,2
"Pago Gestão";122;"Tesouro Estadual";2021-05-01;6822614,58
"Pago Gestão";316;"Tesouro Estadual";2021-05-01;0
"Pago Gestão";121;"Tesouro Estadual";2021-06-01;78318360,07
"Pago Gestão";108;"Fonte Federal";2021-06-01;44179033,85
"Pago Gestão";308;"Fonte Federal";2021-06-01;287761,79
"Pago Gestão";139;"Tesouro Estadual";2021-06-01;29645575,77
"Pago Gestão";122;"Tesouro Estadual";2021-06-01;6819075,05
"Pago Gestão";316;"Tesouro Estadual";2021-06-01;0
"Pago Gestão";121;"Tesouro Estadual";2021-07-01;68883799,08
"Pago Gestão";108;"Fonte Federal";2021-07-01;43169835,13
"Pago Gestão";308;"Fonte Federal";2021-07-01;234185,12
"Pago Gestão";139;"Tesouro Estadual";2021-07-01;28867435,67
"Pago Gestão";122;"Tesouro Estadual";2021-07-01;7322814,49
"Pago Gestão";316;"Tesouro Estadual";2021-07-01;0
