"Descrição";"Fonte";"Origem Recurso";"Mês";"Valor"
"Pago Outros";121;"Tesouro Estadual";2021-01-01;17800743,05
"Pago Outros";108;"Fonte Federal";2021-01-01;6340214,59
"Pago Outros";308;"Fonte Federal";2021-01-01;2951258,39
"Pago Outros";139;"Tesouro Estadual";2021-01-01;302441,69
"Pago Outros";122;"Tesouro Estadual";2021-01-01;5193451,67
"Pago Outros";121;"Tesouro Estadual";2021-02-01;17776130,82
"Pago Outros";108;"Fonte Federal";2021-02-01;5407639,21
"Pago Outros";308;"Fonte Federal";2021-02-01;1182681,48
"Pago Outros";139;"Tesouro Estadual";2021-02-01;346827,12
"Pago Outros";122;"Tesouro Estadual";2021-02-01;5561023,54
"Pago Outros";121;"Tesouro Estadual";2021-03-01;15835748,9
"Pago Outros";108;"Fonte Federal";2021-03-01;6280516,93
"Pago Outros";308;"Fonte Federal";2021-03-01;1726975,71
"Pago Outros";139;"Tesouro Estadual";2021-03-01;518205,33
"Pago Outros";122;"Tesouro Estadual";2021-03-01;2127168,97
"Pago Outros";121;"Tesouro Estadual";2021-04-01;15410354,01
"Pago Outros";108;"Fonte Federal";2021-04-01;5681006,24
"Pago Outros";308;"Fonte Federal";2021-04-01;1610239,68
"Pago Outros";139;"Tesouro Estadual";2021-04-01;693268,49
"Pago Outros";122;"Tesouro Estadual";2021-04-01;3941164,85
"Pago Outros";121;"Tesouro Estadual";2021-05-01;10865532,52
"Pago Outros";108;"Fonte Federal";2021-05-01;3595832,72
"Pago Outros";308;"Fonte Federal";2021-05-01;1665407,65
"Pago Outros";139;"Tesouro Estadual";2021-05-01;426470
"Pago Outros";122;"Tesouro Estadual";2021-05-01;2109939,18
"Pago Outros";121;"Tesouro Estadual";2021-06-01;5026776,11
"Pago Outros";108;"Fonte Federal";2021-06-01;863820,33
"Pago Outros";308;"Fonte Federal";2021-06-01;114000
"Pago Outros";139;"Tesouro Estadual";2021-06-01;580600
"Pago Outros";122;"Tesouro Estadual";2021-06-01;1846826
"Pago Outros";121;"Tesouro Estadual";2021-07-01;891628,5
"Pago Outros";108;"Fonte Federal";2021-07-01;707385,19
"Pago Outros";308;"Fonte Federal";2021-07-01;1068585,19
"Pago Outros";139;"Tesouro Estadual";2021-07-01;581513,31
"Pago Outros";122;"Tesouro Estadual";2021-07-01;1345406,4
